ISO3,COUNTRY_NAME,IEA_GROUP,EU_MEMBER
AIA,Anguilla,Central and South America,no
AFG,Afghanistan,Asia Pacific,no
AGO,Angola,Africa,no
ATG,Antigua and Barbuda,Central and South America,no
ALB,Albania,Europe,no
ARE,United Arab Emirates,Middle East,no
ARG,Argentina,Central and South America,no
ARM,Armenia,Eurasia,no
ABW,Aruba,Central and South America,no
AUS,Australia,Asia Pacific,no
AUT,Austria,Europe,yes
AZE,Azerbaijan,Eurasia,no
BDI,Burundi,Africa,no
BEL,Belgium,Europe,yes
BEN,Benin,Africa,no
BHS,Bahamas,Central and South America,no
BFA,Burkina Faso,Africa,no
BGD,Bangladesh,Asia Pacific,no
BGR,Bulgaria,Europe,yes
BHR,Bahrain,Middle East,no
BRB,Barbados,Central and South America,no
BIH,Bosnia and Herzegovina,Europe,no
BLR,Belarus,Europe,no
BLZ,Belize,Central and South America,no
BMU,Bermuda,Central and South America,no
BOL,Bolivia,Central and South America,no
BES,"Bonaire, Sint Eustatius and Saba",Central and South America,no
BRA,Brazil,Central and South America,no
BTN,Bhutan,Asia Pacific,no
BRN,Brunei Darussalam,Asia Pacific,no
BWA,Botswana,Africa,no
CAF,Central African Republic,Africa,no
CAN,Canada,North America,no
CHE,Switzerland,Europe,no
VGB,British Virgin Islands,Central and South America,no
KHM,Cambodia,Asia Pacific,no
CIV,Côte d'Ivoire,Africa,no
CMR,Cameroon,Africa,no
COD,"Congo, The Democratic Republic of the",Africa,no
COG,Congo,Africa,no
CHN,China,Asia Pacific,no
CYM,Cayman Islands,Central and South America,no
COM,Comoros,Africa,no
CPV,Cabo Verde,Africa,no
CHL,Chile,Central and South America,no
COL,Colombia,Central and South America,no
CRI,Costa Rica,Central and South America,no
CUB,Cuba,Central and South America,no
CYP,Cyprus,Europe,yes
CZE,Czechia,Europe,yes
DEU,Germany,Europe,yes
DJI,Djibouti,Africa,no
CUW,Curaçao,Central and South America,no
DNK,Denmark,Europe,yes
DMA,Dominica,Central and South America,no
DZA,Algeria,Africa,no
DOM,Dominican Republic,Central and South America,no
EGY,Egypt,Africa,no
ERI,Eritrea,Africa,no
ESP,Spain,Europe,yes
EST,Estonia,Europe,yes
ETH,Ethiopia,Africa,no
FIN,Finland,Europe,yes
TWN,Chinese Taipei,Asia Pacific,no
ECU,Ecuador,Central and South America,no
FRA,France,Europe,yes
GAB,Gabon,Africa,no
GBR,United Kingdom,Europe,no
GEO,Georgia,Eurasia,no
GHA,Ghana,Africa,no
GIB,Gibraltar,Europe,no
GIN,Guinea,Africa,no
GMB,Gambia,Africa,no
GNB,Guinea-Bissau,Africa,no
GNQ,Equatorial Guinea,Africa,no
GRC,Greece,Europe,yes
SLV,El Salvador,Central and South America,no
FLK,Falkland Islands,Central and South America,no
GRD,Grenada,Central and South America,no
COK,Cook Islands,Asia Pacific,no
GTM,Guatemala,Central and South America,no
HRV,Croatia,Europe,yes
GUY,Guyana,Central and South America,no
HUN,Hungary,Europe,yes
FJI,Fiji,Asia Pacific,no
