ISO3_code,ISO2_code,PopTotal_2023,PopTotal_2030,PopTotal_2050,Growth_Factor_2023_2030,Growth_Factor_2023_2050,Country code,Fossil_2023,Hydro_2023,Nuclear_2023,Other Renewables_2023,Solar_2023,Wind_2023,Fossil_2030_extrapolated,Nuclear_2030_extrapolated,Fossil_2050_extrapolated,Hydro_2050_extrapolated,Nuclear_2050_extrapolated,Other Renewables_2050_extrapolated,Solar_2050_extrapolated,Wind_2050_extrapolated,country_code,country_name,ember_region,target_year,unit,res_capacity_target,res_share_target,Hydro_2030,Solar_2030,Wind_2030,Other Renewables_2030,Category
ABW,AW,107.939,107.864,100.002,0.9993051631013814,0.9264677271421822,ABW,0.22,0.0,0.0,0.0,0.01,0.03,0.2198471358823039,0.0,0.20382289997128009,0.0,0.0,0.0,0.009264677271421821,0.027794031814265464,,,,,,,,0.0,0.009993051631013813,0.02997915489304144,0.0,
AFG,AF,41454.761,50039.402,76885.135,1.207084561409002,1.854675630622982,AFG,0.27999999999999997,0.46,0.0,0.0,0.03,0.0,0.33798367719452055,0.0,0.5193091765744349,0.8531507900865717,0.0,0.0,0.05564026891868946,0.0,,,,,,,,0.5552588982481409,0.036212536842270056,0.0,0.0,
AGO,AO,36749.906,45160.458,74295.394,1.228859143204339,2.0216485451690676,AGO,1.71,3.73,0.0,0.05,0.31,0.0,2.1013491348794195,0.0,3.4570190122391056,7.5407490734806215,0.0,0.10108242725845339,0.6267110490024109,0.0,,,,,,,,4.583644604152185,0.3809463343933451,0.0,0.06144295716021695,
ALB,AL,2811.655,2671.885,2240.166,0.9502890646256387,0.7967428436276854,ALB,0.2,2.49,0.0,0.0,0.16,0.0,0.19005781292512774,0.0,0.1593485687255371,1.983889680632937,0.0,0.0,0.12747885498042968,0.0,ALB,Albania,Europe,2030.0,Capacity (GW),3.3,100.0,2.51,0.49,0.3,0.0,2.0
ARE,AE,10642.081,12190.605,15367.392,1.145509510780833,1.4440213337974028,ARE,43.24,0.0,4.17,0.01,5.92,0.1,49.53183124616322,4.776774659956073,62.4394824733997,0.0,6.02156896193517,0.01444021333797403,8.548606296080624,0.14440213337974028,ARE,United Arab Emirates,Middle East,2030.0,Capacity (GW),9.2,,0.0,9.032172470978441,0.1525704809286899,0.015257048092868989,5.0
ARG,AR,45538.401,46585.022,48308.944,1.022983261972681,1.0608397075690033,ARG,26.029999999999998,10.39,1.75,0.38,1.41,3.71,26.628254309148886,1.790220708452192,27.61365758802115,11.022124561641945,1.8564694882457558,0.4031190888762212,1.4957839876722945,3.9357153150810023,ARG,Argentina,Latin America and Caribbean,2030.0,Capacity (GW),32.472,47.39,13.215,4.936794545454545,12.989721818181819,1.3304836363636365,1.0
ARM,AM,2943.393,2851.291,2495.207,0.968708901597578,0.8477315125774914,ARM,2.05,1.36,0.45,0.0,0.4,0.0,1.9858532482750348,0.4359190057189101,1.737849600783857,1.1529148571053882,0.38147918065987113,0.0,0.3390926050309966,0.0,,,,,,,,1.3174441061727062,0.3874835606390312,0.0,0.0,
ASM,AS,47.521,42.958,37.545,0.9039792933650386,0.7900717577492057,ASM,0.05,0.0,0.0,0.0,0.0,0.0,0.045198964668251934,0.0,0.039503587887460286,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,
ATG,AG,93.316,96.0,95.055,1.0287624844613998,1.018635603754983,ATG,0.11,0.0,0.0,0.0,0.02,0.0,0.11316387329075399,0.0,0.11204991641304814,0.0,0.0,0.0,0.02037271207509966,0.0,,,,,,,,0.0,0.020575249689227998,0.0,0.0,
AUS,AU,26451.124,28188.539,32506.969,1.0656839762272485,1.2289447132757005,AUS,52.33,8.44,0.0,0.88,33.68,11.33,55.76724247597191,0.0,64.31067684571741,10.372293380046912,0.0,1.0814713476826165,41.390857943125596,13.923943601413686,AUS,Australia,Oceania,2030.0,Capacity (GW),92.42052451,81.15,7.20812,50.79731936,34.41508515,0.0,2.0
